5.1 Cyrillic Kerning, 
Uc   

н(ънъ)н
н(ыны)н
н(ьнь)н
н(энэ)н
н(яня)н
н(ѵнѵ)н

н[ана]н
н[бнб]н
н[внв]н
н[гнг]н
н[днд]н
н[ене]н
н[жнж]н
н[знз]н
н[ини]н
н[кнк]н
н[мнм]н
н[пнп]н
н[рнр]н
н[снс]н
н[тнт]н
н[уну]н
н[фнф]н
н[хнх]н
н[чнч]н
н[цнц]н
н[ънъ]н
н[ыны]н
н[ьнь]н
н[энэ]н
н[яня]н
н[ѵнѵ]н

н?ана?н
н?бнб?н
н?внв?н
н?гнг?н
н?днд?н
н?ене?н
н?жнж?н
н?знз?н
н?ини?н
н?кнк?н
н?мнм?н
н?пнп?н
н?рнр?н
н?снс?н
н?тнт?н
н?уну?н
н?фнф?н
н?хнх?н
н?чнч?н
н?цнц?н
н?ънъ?н
н?ыны?н
н?ьнь?н
н?энэ?н
н?яня?н
н?ѵнѵ?н

н!ана!н
н!бнб!н
н!внв!н
н!гнг!н
н!днд!н
н!ене!н
н!жнж!н
н!знз!н
н!ини!н
н!кнк!н
н!мнм!н
н!пнп!н
н!рнр!н
н!снс!н
н!тнт!н
н!уну!н
н!фнф!н
н!хнх!н
н!чнч!н
н!цнц!н
н!ънъ!н
н!ыны!н
н!ьнь!н
н!энэ!н
н!яня!н
н!ѵнѵ!н

н*ана*н
н*бнб*н
н*внв*н
н*гнг*н
н*днд*н
н*ене*н
н*жнж*н
н*знз*н
н*ини*н
н*кнк*н
н*мнм*н
н*пнп*н
н*рнр*н
н*снс*н
н*тнт*н
н*уну*н
н*фнф*н
н*хнх*н
н*чнч*н
н*цнц*н
н*ънъ*н
н*ыны*н
н*ьнь*н
н*энэ*н
н*яня*н
н*ѵнѵ*н

н“ана“н
н“бнб“н
н“внв“н
н“гнг“н
н“днд“н
н“ене“н
н“жнж“н
н“знз“н
н“ини“н
н“кнк“н
н“мнм“н
н“пнп“н
н“рнр“н
н“снс“н
н“тнт“н
н“уну“н
н“фнф“н
н“хнх“н
н“чнч“н
н“цнц“н
н“ънъ“н
н“ыны“н
н“ьнь“н
н“энэ“н
н“яня“н
н“ѵнѵ“н

5.5 Cyrillic Kerning, 
Punct. + Uc  


H.АНА.H
H.БНБ.H
H.ВНВ.H
H.ГНГ.H
H.ДНД.H
H.ЕНЕ.H
H.ЖНЖ.H
H.ЗНЗ.H
H.ИНИ.H
H.КНК.H
H.ЛНЛ.H
H.ПНП.H
H.РНР.H
H.ТНТ.H
H.УНУ.H
H.ФНФ.H
H.ХНХ.H
H.ЧНЧ.H
H.ЦНЦ.H
H.ШНШ.H
H.ЩНЩ.H
H.ЪНЪ.H
H.ЫНЫ.H
H.ЭНЭ.H
H.ЮНЮ.H
H.ЯНЯ.H
H.ѴНѴ.H

H:АНА:H
H:БНБ:H
H:ВНВ:H
H:ГНГ:H
H:ДНД:H
H:ЕНЕ:H
H:ЖНЖ:H
H:ЗНЗ:H
H:ИНИ:H
H:КНК:H
H:ЛНЛ:H
H:ПНП:H
H:РНР:H
H:ТНТ:H
H:УНУ:H
H:ФНФ:H
H:ХНХ:H
H:ЧНЧ:H
H:ЦНЦ:H
H:ШНШ:H
H:ЩНЩ:H
H:ЪНЪ:H
H:ЫНЫ:H
H:ЭНЭ:H
H:ЮНЮ:H
H:ЯНЯ:H
H:ѴНѴ:H

H-АНА-H
H-БНБ-H
H-ВНВ-H
H-ГНГ-H
H-ДНД-H
H-ЕНЕ-H
H-ЖНЖ-H
H-ЗНЗ-H
H-ИНИ-H
H-КНК-H
H-ЛНЛ-H
H-ПНП-H
H-РНР-H
H-ТНТ-H
H-УНУ-H
H-ФНФ-H
H-ХНХ-H
H-ЧНЧ-H
H-ЦНЦ-H
H-ШНШ-H
H-ЩНЩ-H
H-ЪНЪ-H
H-ЫНЫ-H
H-ЭНЭ-H
H-ЮНЮ-H
H-ЯНЯ-H
H-ѴНѴ-H

H_АНА_H
H_БНБ_H
H_ВНВ_H
H_ГНГ_H
H_ДНД_H
H_ЕНЕ_H
H_ЖНЖ_H
H_ЗНЗ_H
H_ИНИ_H
H_КНК_H
H_ЛНЛ_H
H_ПНП_H
H_РНР_H
H_ТНТ_H
H_УНУ_H
H_ФНФ_H
H_ХНХ_H
H_ЧНЧ_H
H_ЦНЦ_H
H_ШНШ_H
H_ЩНЩ_H
H_ЪНЪ_H
H_ЫНЫ_H
H_ЭНЭ_H
H_ЮНЮ_H
H_ЯНЯ_H
H_ѴНѴ_H

H//АНА//H
H//БНБ//H
H//ВНВ//H
H//ГНГ//H
H//ДНД//H
H//ЕНЕ//H
H//ЖНЖ//H
H//ЗНЗ//H
H//ИНИ//H
H//КНК//H
H//ЛНЛ//H
H//ПНП//H
H//РНР//H
H//ТНТ//H
H//УНУ//H
H//ФНФ//H
H//ХНХ//H
H//ЧНЧ//H
H//ЦНЦ//H
H//ШНШ//H
H//ЩНЩ//H
H//ЪНЪ//H
H//ЫНЫ//H
H//ЭНЭ//H
H//ЮНЮ//H
H//ЯНЯ//H
H//ѴНѴ//H

H\АНА\H
H\БНБ\H
H\ВНВ\H
